name,date,value
demandForecast,2024-04-07T07:00Z,360824.8
demandForecast,2024-04-07T06:00Z,371550.7
totalInterchange,2024-04-07T06:00Z,3462
netGeneration,2024-04-07T06:00Z,382292.33
demandActual,2024-04-07T06:00Z,380127.33
netGeneration,2024-04-07T05:00Z,390011.52
demandActual,2024-04-07T05:00Z,389727.52
totalInterchange,2024-04-07T05:00Z,3096
demandForecast,2024-04-07T05:00Z,383907.5
demandForecast,2024-04-07T04:00Z,400154.2
demandActual,2024-04-07T04:00Z,401301.21
netGeneration,2024-04-07T04:00Z,402827.21
totalInterchange,2024-04-07T04:00Z,3083
netGeneration,2024-04-07T03:00Z,414251.31
demandActual,2024-04-07T03:00Z,412287.31
demandForecast,2024-04-07T03:00Z,411751.3
totalInterchange,2024-04-07T03:00Z,2450
totalInterchange,2024-04-07T02:00Z,1593
demandActual,2024-04-07T02:00Z,419098.21
netGeneration,2024-04-07T02:00Z,421816.21
demandForecast,2024-04-07T02:00Z,418737.2
demandActual,2024-04-07T01:00Z,417982.92
netGeneration,2024-04-07T01:00Z,419148.92
demandForecast,2024-04-07T01:00Z,418481
totalInterchange,2024-04-07T01:00Z,1736
totalInterchange,2024-04-07,1480
demandForecast,2024-04-07,413001
netGeneration,2024-04-07,412012.37
demandActual,2024-04-07,411621.37
netGeneration,2024-04-06T23:00Z,408258.22
demandForecast,2024-04-06T23:00Z,406519.9
totalInterchange,2024-04-06T23:00Z,2032
demandActual,2024-04-06T23:00Z,407712.22
netGeneration,2024-04-06T22:00Z,405395.55
demandForecast,2024-04-06T22:00Z,401157.4
totalInterchange,2024-04-06T22:00Z,2174
demandActual,2024-04-06T22:00Z,405168.55
totalInterchange,2024-04-06T21:00Z,3381
demandActual,2024-04-06T21:00Z,401471.28
demandForecast,2024-04-06T21:00Z,395472.8
netGeneration,2024-04-06T21:00Z,402958.28
demandForecast,2024-04-06T20:00Z,392567.1
demandActual,2024-04-06T20:00Z,398583.62
totalInterchange,2024-04-06T20:00Z,3898
netGeneration,2024-04-06T20:00Z,400597.62
netGeneration,2024-04-06T19:00Z,401543.88
demandActual,2024-04-06T19:00Z,399699.88
totalInterchange,2024-04-06T19:00Z,3968
demandForecast,2024-04-06T19:00Z,392648.7
demandActual,2024-04-06T18:00Z,403002.32
netGeneration,2024-04-06T18:00Z,404346.32
demandForecast,2024-04-06T18:00Z,396268.7
totalInterchange,2024-04-06T18:00Z,3755
totalInterchange,2024-04-06T17:00Z,3754
netGeneration,2024-04-06T17:00Z,406669.54
demandActual,2024-04-06T17:00Z,407260.54
demandForecast,2024-04-06T17:00Z,403064.7
demandForecast,2024-04-06T16:00Z,409783.5
demandActual,2024-04-06T16:00Z,411208.81
totalInterchange,2024-04-06T16:00Z,2822
netGeneration,2024-04-06T16:00Z,408983.81
totalInterchange,2024-04-06T15:00Z,3267
demandForecast,2024-04-06T15:00Z,414599.4
demandActual,2024-04-06T15:00Z,413810.97
netGeneration,2024-04-06T15:00Z,411770.97
totalInterchange,2024-04-06T14:00Z,2638
netGeneration,2024-04-06T14:00Z,411949.43
demandForecast,2024-04-06T14:00Z,415629.8
demandActual,2024-04-06T14:00Z,412131.43
demandActual,2024-04-06T13:00Z,409441.25
demandForecast,2024-04-06T13:00Z,411669.9
netGeneration,2024-04-06T13:00Z,408822.25
totalInterchange,2024-04-06T13:00Z,1102
netGeneration,2024-04-06T12:00Z,401862.35
demandForecast,2024-04-06T12:00Z,402861.6
totalInterchange,2024-04-06T12:00Z,1297
demandActual,2024-04-06T12:00Z,402649.35
netGeneration,2024-04-06T11:00Z,391370.06
demandActual,2024-04-06T11:00Z,391928.06
totalInterchange,2024-04-06T11:00Z,1690
demandForecast,2024-04-06T11:00Z,391220.1
demandForecast,2024-04-06T10:00Z,381533.9
netGeneration,2024-04-06T10:00Z,382408.1
demandActual,2024-04-06T10:00Z,382130.1
totalInterchange,2024-04-06T10:00Z,2277
totalInterchange,2024-04-06T09:00Z,2624
netGeneration,2024-04-06T09:00Z,378129.07
demandActual,2024-04-06T09:00Z,377710.07
demandForecast,2024-04-06T09:00Z,376538.2
totalInterchange,2024-04-06T08:00Z,2288
demandActual,2024-04-06T08:00Z,378833.38
demandForecast,2024-04-06T08:00Z,375606.4
netGeneration,2024-04-06T08:00Z,379461.38
totalInterchange,2024-04-06T07:00Z,2768
netGeneration,2024-04-06T07:00Z,384434.28
demandActual,2024-04-06T07:00Z,383648.28
demandForecast,2024-04-06T07:00Z,379760.8
demandForecast,2024-04-06T06:00Z,388429.3
netGeneration,2024-04-06T06:00Z,393038.93
totalInterchange,2024-04-06T06:00Z,2404
demandActual,2024-04-06T06:00Z,393292.93
totalInterchange,2024-04-06T05:00Z,2596
netGeneration,2024-04-06T05:00Z,404563.2
demandActual,2024-04-06T05:00Z,405498.2
